Ingredient1,Ingredient2,Count,Value,Count_Negative,Count_Zero,Average,Proportion_Negative,Wilson_Center,Wilson_Error
NOODLES,SOY_SAUCE,184902,-66920,66920,117982,-0.36192145028177086,0.36192145028177086,-0.36192431899890826,0.002190409741833538
MUSHROOMS,NOODLES,179863,-62356,62356,117507,-0.3466860888565186,0.3466860888565186,-0.3466893633384398,0.002199430073352277
MUSHROOMS,SOY_SAUCE,168907,-57758,57758,111149,-0.3419514880970001,0.3419514880970001,-0.3419550826511304,0.0022622420015362948
GINGER,NOODLES,136111,-39193,39193,96918,-0.2879488064888216,0.2879488064888216,-0.28795479125767864,0.0024055695905927286
GREEN_ONION,NOODLES,131735,-36050,36050,95685,-0.2736554446426538,0.2736554446426538,-0.2736620450137615,0.002407543665517214
GINGER,SOY_SAUCE,131240,-39052,39052,92188,-0.2975617189881134,0.2975617189881134,-0.29756764449967155,0.002473491747475258
GREEN_ONION,SOY_SAUCE,128715,-36423,36423,92292,-0.2829740123528726,0.2829740123528726,-0.2829804894701601,0.0024608052179160536
GINGER,MUSHROOMS,128219,-36083,36083,92136,-0.2814169506859358,0.2814169506859358,-0.28142349950853063,0.0024614358433975064
GREEN_ONION,MUSHROOMS,125708,-33825,33825,91883,-0.2690759537976899,0.2690759537976899,-0.2690830105538761,0.0024515646208720814
GINGER,GREEN_ONION,97237,-21029,21029,76208,-0.21626541337145325,0.21626541337145325,-0.21627662259969577,0.0025876994453126363
CHICKEN,NOODLES,96527,-43886,43886,52641,-0.45464999430211234,0.45464999430211234,-0.45465179907848224,0.0031412272243867808
NOODLES,PORK,90159,-43602,43602,46557,-0.4836122849632316,0.4836122849632316,-0.4836129832003874,0.003261962012628673
CHICKEN,SOY_SAUCE,86905,-36956,36956,49949,-0.4252459582302514,0.4252459582302514,-0.42524926255604356,0.0032868919248250712
NOODLES,SHRIMP,86618,-47112,47112,39506,-0.5439054238149115,0.5439054238149115,-0.5439034766492428,0.0033168939677187957
CHICKEN,MUSHROOMS,85100,-35438,35438,49662,-0.41642773207990597,0.41642773207990597,-0.41643150454444344,0.0033120654883602905
PORK,SOY_SAUCE,82012,-37171,37171,44841,-0.45323855045603084,0.45323855045603084,-0.45324074074977244,0.0034069805347646492
MUSHROOMS,PORK,80598,-35775,35775,44823,-0.4438695749274176,0.4438695749274176,-0.4438722501844176,0.0034300443654600617
SHRIMP,SOY_SAUCE,78782,-40399,40399,38383,-0.5127948008428321,0.5127948008428321,-0.5127941769679591,0.003490275853639292
MUSHROOMS,SHRIMP,77508,-39070,39070,38438,-0.5040769985033803,0.5040769985033803,-0.504076796441384,0.0035198779971875693
CHICKEN,GINGER,66200,-24404,24404,41796,-0.3686404833836858,0.3686404833836858,-0.3686481057618868,0.0036749826159156737
CHICKEN,GREEN_ONION,65164,-23560,23560,41604,-0.3615493217113744,0.3615493217113744,-0.36155748328482307,0.0036888238545865638
GINGER,PORK,62647,-25538,25538,37109,-0.4076492090602902,0.4076492090602902,-0.4076548717902618,0.003847918591643424
GREEN_ONION,PORK,61941,-24539,24539,37402,-0.39616732051468334,0.39616732051468334,-0.39617375985024716,0.0038516936328913407
GINGER,SHRIMP,60445,-29017,29017,31428,-0.4800562494830011,0.4800562494830011,-0.4800575169334594,0.003982780271008753
GREEN_ONION,SHRIMP,59821,-28296,28296,31525,-0.4730111499306264,0.4730111499306264,-0.47301288299608296,0.004000845086848974
CHICKEN,PORK,42281,-22287,22287,19994,-0.5271161987654029,0.5271161987654029,-0.5271137352445469,0.0047587640884472005
CHICKEN,SHRIMP,41171,-25985,25985,15186,-0.6311481382526536,0.6311481382526536,-0.6311359021718739,0.004660507833755867
PORK,SHRIMP,39515,-27797,27797,11718,-0.7034543844109832,0.7034543844109832,-0.7034346067471775,0.004503206692810328
NOODLES,NOODLES,38521,-38521,38521,0,-1.0,1.0,-0.99995014126158,4.985873841983558e-05
SOY_SAUCE,SOY_SAUCE,13777,-13777,13777,0,-1.0,1.0,-0.9998606180917134,0.000139381908286356
MUSHROOMS,MUSHROOMS,12870,-12870,12870,0,-1.0,1.0,-0.9998507982263818,0.0001492017736182182
GINGER,GINGER,2991,-2991,2991,0,-1.0,1.0,-0.9993586305198912,0.0006413694801087309
GREEN_ONION,GREEN_ONION,2967,-2967,2967,0,-1.0,1.0,-0.9993534492044274,0.0006465507955725408
