GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,StateSpace(Size)
-1370978650,StirFry18,0,ABOUT_TO_START,0,0,4,2,22
1647701555,StirFry18,0,ABOUT_TO_START,0,0,4,3,22
-1277903534,StirFry18,0,ABOUT_TO_START,0,0,4,4,22
-1640476874,StirFry18,0,ABOUT_TO_START,0,0,4,5,22
553961331,StirFry18,0,ABOUT_TO_START,0,0,4,6,22
-831456259,StirFry18,0,ABOUT_TO_START,0,0,4,7,22
-2078645679,StirFry18,0,ABOUT_TO_START,0,0,4,8,22
-422592463,StirFry18,0,ABOUT_TO_START,0,0,4,9,22
-371318483,StirFry18,0,ABOUT_TO_START,0,0,4,10,22
1413563445,StirFry18,0,ABOUT_TO_START,0,0,4,11,22
-922896288,StirFry18,0,ABOUT_TO_START,0,0,4,12,22
-765637451,StirFry18,0,ABOUT_TO_START,0,0,4,13,22
-1512853234,StirFry18,0,ABOUT_TO_START,0,0,4,14,22
135710345,StirFry18,0,ABOUT_TO_START,0,0,4,15,22
-1184793961,StirFry18,0,ABOUT_TO_START,0,0,4,16,22
579019569,StirFry18,0,ABOUT_TO_START,0,0,4,17,22
-1535464975,StirFry18,0,ABOUT_TO_START,0,0,4,18,22
-1548196693,StirFry18,0,ABOUT_TO_START,0,0,4,19,22
-1899518844,StirFry18,0,ABOUT_TO_START,0,0,4,20,22
607271807,StirFry18,0,ABOUT_TO_START,0,0,4,21,22
506872651,StirFry18,0,ABOUT_TO_START,0,0,4,22,22
-1112287184,StirFry18,0,ABOUT_TO_START,0,0,4,23,22
488111167,StirFry18,0,ABOUT_TO_START,0,0,4,24,22
1370560877,StirFry18,0,ABOUT_TO_START,0,0,4,25,22
227222364,StirFry18,0,ABOUT_TO_START,0,0,4,26,22
1128047291,StirFry18,0,ABOUT_TO_START,0,0,4,27,22
-1686328900,StirFry18,0,ABOUT_TO_START,0,0,4,28,22
1642967928,StirFry18,0,ABOUT_TO_START,0,0,4,29,22
-16598880,StirFry18,0,ABOUT_TO_START,0,0,4,30,22
1296522330,StirFry18,0,ABOUT_TO_START,0,0,4,31,22
