GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,CookList(Cooked with -),StateSpace(Size),Actions(mcts),Actions(Player-1),Actions(Actions Played Description),Actions(Player-0),Actions(Player-3),Actions(Player-2),Actions(Size-mcts),Actions(Action Space Size),Actions(Actions Played),DiscardedCards(Discarded Card),DiscardedCards(Discard Reason),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3)
-1698039383,StirFry18,0,ACTION_CHOSEN,0,0,4,2,GINGER-NOODLES-SOY_SAUCE-,22,"Cook with ids: 48, 36, 40,",,"Cook with: NOODLES,GINGER,SOY_SAUCE,","Cook with ids: 48, 36, 40,",,,2,2,"Cook with ids: 48, 36, 40,",,,0.0,mcts,0.0,0.0,0.0,0.0,0.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,1,0,4,2,,22,pass,,pass,pass,,,1,1,pass,,,4.0,mcts,0.0,1.0,4.0,0.0,0.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,2,0,4,2,,22,pass,,pass,pass,,,1,1,pass,,,4.0,mcts,0.0,1.0,4.0,0.0,0.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,3,1,4,2,,22,pass,pass,pass,,,,2,2,pass,,,4.0,mcts,0.0,1.0,4.0,0.0,0.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,4,1,4,2,,22,Discard: 45,Discard: 45,Discard: NOODLES,,,,4,4,Discard: 45,NOODLES,End of Turn,4.0,mcts,0.0,1.0,4.0,0.0,0.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,5,1,4,2,,22,pass,pass,pass,,,,1,1,pass,,,4.0,mcts,0.0,1.0,4.0,0.0,0.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,6,2,4,2,GREEN_ONION-NOODLES-PORK-,22,"Cook with ids: 33, 49, 38,",,"Cook with: PORK,NOODLES,GREEN_ONION,",,,"Cook with ids: 33, 49, 38,",4,4,"Cook with ids: 33, 49, 38,",,,4.0,mcts,0.0,1.0,4.0,0.0,0.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,7,2,4,2,,22,pass,,pass,,,pass,1,1,pass,,,5.0,mcts,0.0,3.25,4.0,0.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,8,2,4,2,,22,pass,,pass,,,pass,1,1,pass,,,5.0,mcts,0.0,3.25,4.0,0.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,9,3,4,2,,22,Discard Protein: 34,,Discard: CHICKEN,,Discard Protein: 34,,3,3,Discard Protein: 34,CHICKEN,Protein Action,5.0,mcts,0.0,3.25,4.0,0.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,10,3,4,2,,22,Discard Ingretients: 43 and 42,,Discard: MUSHROOMSand MUSHROOMS,,Discard Ingretients: 43 and 42,,3,3,Discard Ingretients: 43 and 42,MUSHROOMS,Ingredient Action,5.0,mcts,0.0,3.25,4.0,0.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,11,3,4,2,GINGER-NOODLES-PORK-SHRIMP-,22,"Cook with ids: 32, 33, 35, 47,",,"Cook with: SHRIMP,PORK,GINGER,NOODLES,",,"Cook with ids: 32, 33, 35, 47,",,2,2,"Cook with ids: 32, 33, 35, 47,",,,5.0,mcts,0.0,3.25,4.0,0.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,12,3,4,2,,22,pass,,pass,,pass,,1,1,pass,,,5.0,mcts,0.0,6.75,4.0,14.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,13,3,4,2,,22,pass,,pass,,pass,,1,1,pass,,,5.0,mcts,0.0,6.75,4.0,14.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,14,4,4,2,,22,pass,,pass,pass,,,1,1,pass,,,5.0,mcts,0.0,6.75,4.0,14.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,15,4,4,2,,22,pass,,pass,pass,,,1,1,pass,,,5.0,mcts,0.0,6.75,4.0,14.0,9.0,mcts,mcts,mcts
-1698039383,StirFry18,0,ACTION_CHOSEN,16,5,4,2,,22,Discard Ingretients: 40 and 41,Discard Ingretients: 40 and 41,Discard: SOY_SAUCEand SOY_SAUCE,,,,2,2,Discard Ingretients: 40 and 41,SOY_SAUCE,Ingredient Action,5.0,mcts,0.0,6.75,4.0,14.0,9.0,mcts,mcts,mcts
