GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3)
-1370978650,StirFry18,0,GAME_OVER,148,50,4,2,mcts,63.0,46.0,26.0,42.0,mcts,mcts,mcts,145,0.39864864864864863,59,17.0,mcts,63.0,44.25,46.0,26.0,42.0,mcts,mcts,mcts
1647701555,StirFry18,0,GAME_OVER,119,39,4,3,mcts,49.0,36.0,28.0,52.0,mcts,mcts,mcts,115,0.3949579831932773,47,3.0,mcts,49.0,41.25,36.0,28.0,52.0,mcts,mcts,mcts
-1277903534,StirFry18,0,GAME_OVER,161,52,4,4,mcts,40.0,45.0,52.0,46.0,mcts,mcts,mcts,157,0.422360248447205,68,6.0,mcts,40.0,45.75,45.0,52.0,46.0,mcts,mcts,mcts
-1640476874,StirFry18,0,GAME_OVER,103,31,4,5,mcts,25.0,47.0,36.0,60.0,mcts,mcts,mcts,99,0.4563106796116505,47,13.0,mcts,25.0,42.0,47.0,36.0,60.0,mcts,mcts,mcts
553961331,StirFry18,0,GAME_OVER,128,42,4,6,mcts,57.0,42.0,29.0,22.0,mcts,mcts,mcts,124,0.3984375,51,15.0,mcts,57.0,37.5,42.0,29.0,22.0,mcts,mcts,mcts
-831456259,StirFry18,0,GAME_OVER,119,39,4,7,mcts,36.0,38.0,46.0,58.0,mcts,mcts,mcts,115,0.42016806722689076,50,12.0,mcts,36.0,44.5,38.0,46.0,58.0,mcts,mcts,mcts
-2078645679,StirFry18,0,GAME_OVER,102,35,4,8,mcts,30.0,21.0,39.0,53.0,mcts,mcts,mcts,98,0.35294117647058826,36,14.0,mcts,30.0,35.75,21.0,39.0,53.0,mcts,mcts,mcts
-422592463,StirFry18,0,GAME_OVER,119,40,4,9,mcts,38.0,31.0,54.0,47.0,mcts,mcts,mcts,116,0.3697478991596639,44,7.0,mcts,38.0,42.5,31.0,54.0,47.0,mcts,mcts,mcts
-371318483,StirFry18,0,GAME_OVER,137,43,4,10,mcts,28.0,47.0,45.0,51.0,mcts,mcts,mcts,133,0.4233576642335766,58,4.0,mcts,28.0,42.75,47.0,45.0,51.0,mcts,mcts,mcts
1413563445,StirFry18,0,GAME_OVER,154,50,4,11,mcts,51.0,49.0,37.0,42.0,mcts,mcts,mcts,151,0.43506493506493504,67,2.0,mcts,51.0,44.75,49.0,37.0,42.0,mcts,mcts,mcts
-922896288,StirFry18,0,GAME_OVER,147,51,4,12,mcts,44.0,44.0,32.0,61.0,mcts,mcts,mcts,143,0.3741496598639456,55,17.0,mcts,44.0,45.25,44.0,32.0,61.0,mcts,mcts,mcts
-765637451,StirFry18,0,GAME_OVER,127,42,4,13,mcts,50.0,38.0,29.0,41.0,mcts,mcts,mcts,124,0.4330708661417323,55,9.0,mcts,50.0,39.5,38.0,29.0,41.0,mcts,mcts,mcts
-1512853234,StirFry18,0,GAME_OVER,71,24,4,14,mcts,15.0,13.0,53.0,23.0,mcts,mcts,mcts,67,0.4084507042253521,29,30.0,mcts,15.0,26.0,13.0,53.0,23.0,mcts,mcts,mcts
135710345,StirFry18,0,GAME_OVER,114,39,4,15,mcts,35.0,28.0,35.0,53.0,mcts,mcts,mcts,111,0.40350877192982454,46,18.0,mcts,35.0,37.75,28.0,35.0,53.0,mcts,mcts,mcts
-1184793961,StirFry18,0,GAME_OVER,106,32,4,16,mcts,34.0,26.0,60.0,35.0,mcts,mcts,mcts,102,0.44339622641509435,47,25.0,mcts,34.0,38.75,26.0,60.0,35.0,mcts,mcts,mcts
579019569,StirFry18,0,GAME_OVER,113,39,4,17,mcts,47.0,23.0,31.0,59.0,mcts,mcts,mcts,110,0.36283185840707965,41,12.0,mcts,47.0,40.0,23.0,31.0,59.0,mcts,mcts,mcts
-1535464975,StirFry18,0,GAME_OVER,133,40,4,18,mcts,46.0,29.0,52.0,45.0,mcts,mcts,mcts,129,0.43609022556390975,58,6.0,mcts,46.0,43.0,29.0,52.0,45.0,mcts,mcts,mcts
-1548196693,StirFry18,0,GAME_OVER,108,35,4,19,mcts,40.0,36.0,29.0,50.0,mcts,mcts,mcts,104,0.4444444444444444,48,10.0,mcts,40.0,38.75,36.0,29.0,50.0,mcts,mcts,mcts
-1899518844,StirFry18,0,GAME_OVER,143,47,4,20,mcts,45.0,35.0,43.0,59.0,mcts,mcts,mcts,139,0.3986013986013986,57,14.0,mcts,45.0,45.5,35.0,43.0,59.0,mcts,mcts,mcts
607271807,StirFry18,0,GAME_OVER,135,43,4,21,mcts,43.0,42.0,44.0,50.0,mcts,mcts,mcts,132,0.45925925925925926,62,6.0,mcts,43.0,44.75,42.0,44.0,50.0,mcts,mcts,mcts
