Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
pass,30.0,2784.0,92.79999999999998,46.0,120.0,74.0,211.47586206896557,14.542209669406008
Discard: NOODLESand NOODLES,30.0,159.0,5.3,2.0,9.0,7.0,2.700000000000001,1.6431676725154987
Discard: CHICKEN,30.0,121.0,4.033333333333333,1.0,7.0,6.0,3.3436781609195396,1.828572711411701
Discard: SHRIMP,30.0,119.0,3.966666666666667,0.0,8.0,8.0,4.585057471264368,2.141274730450151
Discard: PORK,30.0,115.0,3.8333333333333335,1.0,8.0,7.0,2.971264367816093,1.7237355852380878
Discard: SOY_SAUCEand SOY_SAUCE,30.0,80.0,2.6666666666666665,0.0,6.0,6.0,2.436781609195402,1.5610194134588469
Discard: MUSHROOMSand MUSHROOMS,30.0,69.0,2.3,0.0,5.0,5.0,1.8034482758620691,1.3429252681597994
Discard: SOY_SAUCE,30.0,58.0,1.9333333333333333,0.0,4.0,4.0,1.167816091954023,1.0806553992619585
Discard: GREEN_ONION,30.0,50.0,1.666666666666667,0.0,6.0,6.0,2.160919540229885,1.4700066463216706
Discard: MUSHROOMS,30.0,50.0,1.6666666666666667,0.0,6.0,6.0,2.022988505747126,1.422318004437519
Discard: GINGER,30.0,48.0,1.6000000000000003,0.0,5.0,5.0,1.6965517241379309,1.302517456365914
Discard: NOODLES,30.0,41.0,1.366666666666667,0.0,4.0,4.0,0.9988505747126436,0.9994251221140299
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,24.0,0.8000000000000003,0.0,4.0,4.0,0.9931034482758622,0.9965457582448797
Discard: GINGERand GINGER,30.0,23.0,0.7666666666666668,0.0,2.0,2.0,0.5298850574712644,0.7279320417946062
Discard: GREEN_ONIONand GREEN_ONION,30.0,23.0,0.7666666666666667,0.0,3.0,3.0,0.7367816091954024,0.858359836662575
"Cook with: GREEN_ONION,MUSHROOMS,NOODLES,",30.0,19.0,0.6333333333333334,0.0,3.0,3.0,0.9298850574712645,0.9643054793328018
"Cook with: GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,14.0,0.4666666666666667,0.0,2.0,2.0,0.5333333333333333,0.7302967433402214
"Cook with: GREEN_ONION,SOY_SAUCE,NOODLES,",30.0,12.0,0.4,0.0,3.0,3.0,0.7999999999999998,0.8944271909999157
"Cook with: NOODLES,GINGER,GREEN_ONION,",30.0,12.0,0.4,0.0,3.0,3.0,0.5241379310344827,0.7239737088005909
"Cook with: GINGER,SOY_SAUCE,NOODLES,",30.0,12.0,0.39999999999999997,0.0,3.0,3.0,0.593103448275862,0.7701320979389588
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,GINGER,",30.0,11.0,0.36666666666666675,0.0,2.0,2.0,0.3781609195402298,0.614947899858378
"Cook with: MUSHROOMS,NOODLES,GINGER,",30.0,10.0,0.33333333333333337,0.0,3.0,3.0,0.5057471264367817,0.7111590022187596
"Cook with: GINGER,MUSHROOMS,NOODLES,",30.0,9.0,0.3,0.0,2.0,2.0,0.35517241379310344,0.5959634332684376
"Cook with: NOODLES,SOY_SAUCE,MUSHROOMS,",30.0,9.0,0.29999999999999993,0.0,3.0,3.0,0.5620689655172415,0.7497125886079555
"Cook with: GINGER,GREEN_ONION,NOODLES,",30.0,8.0,0.26666666666666666,0.0,2.0,2.0,0.2712643678160919,0.5208304597621878
"Cook with: GINGER,GREEN_ONION,SOY_SAUCE,NOODLES,",30.0,8.0,0.26666666666666666,0.0,2.0,2.0,0.271264367816092,0.5208304597621879
"Cook with: SOY_SAUCE,NOODLES,GINGER,",30.0,7.0,0.23333333333333336,0.0,2.0,2.0,0.2540229885057471,0.5040069329937309
"Cook with: MUSHROOMS,NOODLES,SOY_SAUCE,",30.0,7.0,0.23333333333333334,0.0,3.0,3.0,0.46091954022988507,0.6789105539243627
"Cook with: GINGER,SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,7.0,0.23333333333333334,0.0,2.0,2.0,0.2540229885057471,0.5040069329937309
"Cook with: GINGER,GREEN_ONION,MUSHROOMS,NOODLES,",30.0,6.0,0.20000000000000004,0.0,2.0,2.0,0.3034482758620689,0.5508613944197478
"Cook with: NOODLES,CHICKEN,GINGER,",30.0,6.0,0.2,0.0,2.0,2.0,0.23448275862068965,0.4842341981115023
"Cook with: NOODLES,GINGER,SOY_SAUCE,",30.0,6.0,0.2,0.0,3.0,3.0,0.37241379310344824,0.6102571532587293
"Cook with: GINGER,GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,6.0,0.2,0.0,2.0,2.0,0.303448275862069,0.5508613944197479
"Cook with: GREEN_ONION,MUSHROOMS,NOODLES,GINGER,",30.0,6.0,0.2,0.0,2.0,2.0,0.3724137931034483,0.6102571532587293
"Cook with: NOODLES,GREEN_ONION,MUSHROOMS,",30.0,6.0,0.19999999999999998,0.0,3.0,3.0,0.37241379310344824,0.6102571532587293
"Cook with: NOODLES,GREEN_ONION,SOY_SAUCE,",30.0,5.0,0.1666666666666667,0.0,1.0,1.0,0.14367816091954025,0.3790490217894517
"Cook with: NOODLES,GINGER,SOY_SAUCE,MUSHROOMS,",30.0,5.0,0.16666666666666669,0.0,1.0,1.0,0.14367816091954025,0.3790490217894517
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,GREEN_ONION,",30.0,5.0,0.16666666666666669,0.0,1.0,1.0,0.14367816091954025,0.3790490217894517
"Cook with: NOODLES,GINGER,GREEN_ONION,MUSHROOMS,",30.0,5.0,0.16666666666666666,0.0,3.0,3.0,0.3505747126436781,0.5920934999167599
"Cook with: SOY_SAUCE,NOODLES,SHRIMP,",30.0,5.0,0.16666666666666666,0.0,1.0,1.0,0.14367816091954017,0.3790490217894516
"Cook with: MUSHROOMS,NOODLES,GINGER,GREEN_ONION,",30.0,5.0,0.16666666666666666,0.0,2.0,2.0,0.21264367816091953,0.461133037377414
"Cook with: MUSHROOMS,NOODLES,GINGER,SOY_SAUCE,",30.0,5.0,0.16666666666666666,0.0,2.0,2.0,0.21264367816091953,0.461133037377414
"Cook with: MUSHROOMS,NOODLES,PORK,GINGER,",30.0,4.0,0.1333333333333334,0.0,2.0,2.0,0.18850574712643675,0.4341724854553047
"Cook with: GREEN_ONION,SOY_SAUCE,NOODLES,GINGER,",30.0,4.0,0.13333333333333336,0.0,2.0,2.0,0.2574712643678161,0.5074162634049248
"Cook with: GINGER,SOY_SAUCE,NOODLES,SHRIMP,",30.0,4.0,0.13333333333333336,0.0,2.0,2.0,0.18850574712643678,0.43417248545530474
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,SHRIMP,",30.0,4.0,0.13333333333333336,0.0,2.0,2.0,0.18850574712643678,0.43417248545530474
"Cook with: NOODLES,GINGER,GREEN_ONION,SOY_SAUCE,",30.0,4.0,0.13333333333333336,0.0,1.0,1.0,0.11954022988505746,0.3457459036417604
"Cook with: MUSHROOMS,NOODLES,GREEN_ONION,",30.0,4.0,0.13333333333333333,0.0,2.0,2.0,0.18850574712643675,0.4341724854553047
"Cook with: NOODLES,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",30.0,4.0,0.13333333333333333,0.0,2.0,2.0,0.18850574712643675,0.4341724854553047
"Cook with: GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,GINGER,",30.0,4.0,0.13333333333333333,0.0,2.0,2.0,0.2574712643678161,0.5074162634049248
"Cook with: NOODLES,CHICKEN,GINGER,SOY_SAUCE,",30.0,4.0,0.13333333333333333,0.0,1.0,1.0,0.11954022988505747,0.3457459036417604
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,PORK,",30.0,4.0,0.13333333333333333,0.0,1.0,1.0,0.11954022988505746,0.3457459036417604
"Cook with: CHICKEN,GINGER,SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,4.0,0.13333333333333333,0.0,2.0,2.0,0.18850574712643678,0.43417248545530474
"Cook with: SHRIMP,NOODLES,GREEN_ONION,SOY_SAUCE,",30.0,3.0,0.10000000000000005,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,SHRIMP,GINGER,",30.0,3.0,0.10000000000000003,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
