Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
pass,30.0,2392.0,79.73333333333335,50.0,112.0,62.0,231.65057471264356,15.220071442429026
Discard Protein: 91,30.0,11.0,0.3666666666666667,0.0,11.0,11.0,4.033333333333333,2.008316044185609
Discard Protein: 32,30.0,8.0,0.26666666666666666,0.0,8.0,8.0,2.1333333333333333,1.4605934866804429
Discard Protein: 874,30.0,7.0,0.23333333333333342,0.0,7.0,7.0,1.633333333333333,1.2780193008453875
Discard Protein: 177,30.0,7.0,0.23333333333333334,0.0,7.0,7.0,1.6333333333333333,1.2780193008453875
Discard Protein: 613,30.0,6.0,0.2,0.0,6.0,6.0,1.2000000000000006,1.0954451150103326
Discard Protein: 787,30.0,6.0,0.2,0.0,6.0,6.0,1.2000000000000006,1.0954451150103326
Discard Protein: 554,30.0,5.0,0.16666666666666669,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 555,30.0,5.0,0.16666666666666669,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 438,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 671,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 845,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 293,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333335,0.9128709291752769
Discard Protein: 875,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 583,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333333,0.9128709291752768
Discard Protein: 817,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 61,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 63,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 469,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333333,0.9128709291752768
Discard Protein: 757,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333335,0.9128709291752769
Discard Protein: 353,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333335,0.9128709291752769
Discard Protein: 264,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 206,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333331,0.9128709291752768
Discard Protein: 440,30.0,5.0,0.16666666666666666,0.0,5.0,5.0,0.8333333333333334,0.9128709291752769
Discard Protein: 728,30.0,4.0,0.1333333333333334,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 701,30.0,4.0,0.1333333333333334,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 873,30.0,4.0,0.1333333333333334,0.0,4.0,4.0,0.5333333333333332,0.7302967433402214
Discard Protein: 323,30.0,4.0,0.1333333333333334,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 324,30.0,4.0,0.1333333333333334,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 699,30.0,4.0,0.1333333333333334,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 642,30.0,4.0,0.1333333333333334,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 149,30.0,4.0,0.13333333333333336,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 148,30.0,4.0,0.13333333333333336,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 90,30.0,4.0,0.13333333333333336,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 179,30.0,4.0,0.13333333333333336,0.0,4.0,4.0,0.5333333333333333,0.7302967433402214
Discard Protein: 786,30.0,4.0,0.13333333333333333,0.0,4.0,4.0,0.5333333333333331,0.7302967433402213
