Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
MUSHROOMS-NOODLES-SOY_SAUCE-,30.0,35.0,1.166666666666667,0.0,3.0,3.0,0.9712643678160917,0.9855274566525744
GREEN_ONION-MUSHROOMS-NOODLES-SOY_SAUCE-,30.0,28.0,0.9333333333333331,0.0,3.0,3.0,1.2367816091954018,1.1121068335350708
GINGER-GREEN_ONION-NOODLES-SOY_SAUCE-,30.0,23.0,0.7666666666666666,0.0,3.0,3.0,0.7367816091954021,0.8583598366625749
GINGER-MUSHROOMS-NOODLES-SOY_SAUCE-,30.0,23.0,0.7666666666666666,0.0,3.0,3.0,0.8057471264367814,0.897634182970313
GREEN_ONION-NOODLES-SOY_SAUCE-,30.0,22.0,0.7333333333333335,0.0,2.0,2.0,0.5471264367816091,0.7396799556440671
GREEN_ONION-MUSHROOMS-NOODLES-,30.0,21.0,0.6999999999999998,0.0,2.0,2.0,0.5620689655172413,0.7497125886079553
GINGER-GREEN_ONION-MUSHROOMS-NOODLES-,30.0,20.0,0.6666666666666666,0.0,4.0,4.0,1.0574712643678161,1.0283342182227606
GINGER-GREEN_ONION-NOODLES-,30.0,18.0,0.6000000000000002,0.0,3.0,3.0,0.593103448275862,0.7701320979389588
GINGER-NOODLES-SOY_SAUCE-,30.0,18.0,0.6,0.0,2.0,2.0,0.5241379310344827,0.7239737088005909
GINGER-MUSHROOMS-NOODLES-,30.0,16.0,0.5333333333333333,0.0,3.0,3.0,0.6022988505747127,0.7760791522613609
CHICKEN-NOODLES-SOY_SAUCE-,30.0,11.0,0.3666666666666667,0.0,2.0,2.0,0.3781609195402299,0.6149478998583782
GINGER-MUSHROOMS-NOODLES-PORK-SOY_SAUCE-,30.0,9.0,0.30000000000000004,0.0,2.0,2.0,0.28620689655172415,0.5349830806219241
CHICKEN-GINGER-GREEN_ONION-MUSHROOMS-NOODLES-SOY_SAUCE-,30.0,9.0,0.30000000000000004,0.0,2.0,2.0,0.3551724137931035,0.5959634332684376
GINGER-GREEN_ONION-MUSHROOMS-NOODLES-SOY_SAUCE-,30.0,8.0,0.2666666666666668,0.0,2.0,2.0,0.27126436781609203,0.5208304597621879
GREEN_ONION-MUSHROOMS-NOODLES-PORK-,30.0,8.0,0.2666666666666667,0.0,1.0,1.0,0.20229885057471267,0.44977644510880366
CHICKEN-GINGER-GREEN_ONION-MUSHROOMS-NOODLES-,30.0,8.0,0.26666666666666666,0.0,1.0,1.0,0.20229885057471267,0.44977644510880366
GREEN_ONION-NOODLES-SHRIMP-,30.0,8.0,0.26666666666666666,0.0,1.0,1.0,0.20229885057471264,0.4497764451088036
MUSHROOMS-NOODLES-SHRIMP-,30.0,8.0,0.26666666666666666,0.0,1.0,1.0,0.20229885057471259,0.44977644510880355
CHICKEN-GINGER-GREEN_ONION-NOODLES-PORK-SOY_SAUCE-,30.0,7.0,0.23333333333333342,0.0,1.0,1.0,0.18505747126436783,0.4301830671520764
GREEN_ONION-NOODLES-PORK-SOY_SAUCE-,30.0,7.0,0.23333333333333334,0.0,1.0,1.0,0.1850574712643678,0.4301830671520763
GINGER-NOODLES-PORK-SOY_SAUCE-,30.0,6.0,0.20000000000000004,0.0,1.0,1.0,0.16551724137931037,0.4068381021724863
CHICKEN-MUSHROOMS-NOODLES-,30.0,6.0,0.20000000000000004,0.0,1.0,1.0,0.16551724137931031,0.40683810217248617
CHICKEN-GREEN_ONION-MUSHROOMS-NOODLES-PORK-SOY_SAUCE-,30.0,6.0,0.2,0.0,1.0,1.0,0.16551724137931031,0.40683810217248617
GREEN_ONION-MUSHROOMS-NOODLES-SHRIMP-,30.0,6.0,0.2,0.0,2.0,2.0,0.2344827586206896,0.48423419811150226
GREEN_ONION-NOODLES-PORK-,30.0,6.0,0.2,0.0,1.0,1.0,0.16551724137931031,0.40683810217248617
CHICKEN-MUSHROOMS-NOODLES-SOY_SAUCE-,30.0,6.0,0.2,0.0,2.0,2.0,0.23448275862068962,0.48423419811150226
CHICKEN-GINGER-MUSHROOMS-NOODLES-PORK-,30.0,6.0,0.2,0.0,1.0,1.0,0.16551724137931031,0.40683810217248617
GINGER-MUSHROOMS-NOODLES-SHRIMP-SOY_SAUCE-,30.0,6.0,0.2,0.0,2.0,2.0,0.23448275862068957,0.4842341981115022
MUSHROOMS-NOODLES-SHRIMP-SOY_SAUCE-,30.0,6.0,0.2,0.0,3.0,3.0,0.3724137931034483,0.6102571532587293
NOODLES-SHRIMP-SOY_SAUCE-,30.0,6.0,0.2,0.0,2.0,2.0,0.3034482758620689,0.5508613944197478
CHICKEN-GINGER-GREEN_ONION-NOODLES-SOY_SAUCE-,30.0,6.0,0.2,0.0,1.0,1.0,0.16551724137931034,0.4068381021724862
GINGER-GREEN_ONION-MUSHROOMS-NOODLES-SHRIMP-,30.0,5.0,0.16666666666666674,0.0,1.0,1.0,0.14367816091954025,0.3790490217894517
GINGER-GREEN_ONION-MUSHROOMS-NOODLES-PORK-,30.0,5.0,0.1666666666666667,0.0,2.0,2.0,0.28160919540229884,0.5306686305052324
CHICKEN-GINGER-GREEN_ONION-NOODLES-,30.0,5.0,0.16666666666666669,0.0,1.0,1.0,0.14367816091954025,0.3790490217894517
GREEN_ONION-MUSHROOMS-NOODLES-SHRIMP-SOY_SAUCE-,30.0,5.0,0.16666666666666666,0.0,1.0,1.0,0.14367816091954022,0.3790490217894517
GINGER-GREEN_ONION-NOODLES-PORK-,30.0,5.0,0.16666666666666666,0.0,1.0,1.0,0.14367816091954022,0.3790490217894517
MUSHROOMS-NOODLES-PORK-SOY_SAUCE-,30.0,5.0,0.16666666666666666,0.0,1.0,1.0,0.14367816091954025,0.3790490217894517
CHICKEN-GINGER-GREEN_ONION-MUSHROOMS-NOODLES-PORK-SOY_SAUCE-,30.0,5.0,0.16666666666666666,0.0,1.0,1.0,0.14367816091954017,0.3790490217894516
GINGER-GREEN_ONION-NOODLES-SHRIMP-,30.0,4.0,0.1333333333333334,0.0,1.0,1.0,0.1195402298850575,0.34574590364176044
GINGER-MUSHROOMS-NOODLES-PORK-,30.0,4.0,0.1333333333333334,0.0,1.0,1.0,0.1195402298850575,0.34574590364176044
GINGER-GREEN_ONION-MUSHROOMS-NOODLES-SHRIMP-SOY_SAUCE-,30.0,4.0,0.13333333333333336,0.0,1.0,1.0,0.11954022988505744,0.3457459036417604
NOODLES-PORK-SHRIMP-SOY_SAUCE-,30.0,4.0,0.13333333333333336,0.0,1.0,1.0,0.11954022988505747,0.3457459036417604
GINGER-NOODLES-SHRIMP-SOY_SAUCE-,30.0,4.0,0.13333333333333336,0.0,1.0,1.0,0.1195402298850575,0.34574590364176044
GINGER-GREEN_ONION-NOODLES-SHRIMP-SOY_SAUCE-,30.0,4.0,0.13333333333333336,0.0,1.0,1.0,0.11954022988505747,0.3457459036417604
GREEN_ONION-MUSHROOMS-NOODLES-PORK-SOY_SAUCE-,30.0,4.0,0.13333333333333333,0.0,1.0,1.0,0.11954022988505747,0.3457459036417604
CHICKEN-GINGER-NOODLES-PORK-SOY_SAUCE-,30.0,4.0,0.13333333333333333,0.0,1.0,1.0,0.11954022988505746,0.3457459036417604
CHICKEN-GINGER-MUSHROOMS-NOODLES-SHRIMP-,30.0,4.0,0.13333333333333333,0.0,1.0,1.0,0.11954022988505744,0.3457459036417604
GREEN_ONION-NOODLES-SHRIMP-SOY_SAUCE-,30.0,4.0,0.13333333333333333,0.0,1.0,1.0,0.11954022988505747,0.3457459036417604
CHICKEN-GREEN_ONION-MUSHROOMS-NOODLES-SOY_SAUCE-,30.0,4.0,0.13333333333333333,0.0,2.0,2.0,0.18850574712643675,0.4341724854553047
CHICKEN-GINGER-GREEN_ONION-MUSHROOMS-NOODLES-SHRIMP-,30.0,4.0,0.13333333333333333,0.0,2.0,2.0,0.18850574712643678,0.43417248545530474
CHICKEN-GINGER-MUSHROOMS-NOODLES-PORK-SOY_SAUCE-,30.0,4.0,0.13333333333333333,0.0,2.0,2.0,0.18850574712643675,0.4341724854553047
NOODLES-PORK-SOY_SAUCE-,30.0,4.0,0.1333333333333333,0.0,1.0,1.0,0.11954022988505746,0.3457459036417604
CHICKEN-GINGER-MUSHROOMS-NOODLES-,30.0,3.0,0.10000000000000005,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
CHICKEN-GREEN_ONION-NOODLES-,30.0,3.0,0.10000000000000002,0.0,1.0,1.0,0.09310344827586206,0.30512857662936466
GINGER-NOODLES-SHRIMP-,30.0,3.0,0.10000000000000002,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
GINGER-GREEN_ONION-MUSHROOMS-NOODLES-PORK-SOY_SAUCE-,30.0,3.0,0.1,0.0,2.0,2.0,0.16206896551724131,0.4025778999364487
CHICKEN-GINGER-MUSHROOMS-NOODLES-SHRIMP-SOY_SAUCE-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586206,0.30512857662936466
GINGER-MUSHROOMS-NOODLES-SHRIMP-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586205,0.30512857662936466
CHICKEN-GINGER-GREEN_ONION-MUSHROOMS-NOODLES-PORK-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586205,0.30512857662936466
GINGER-NOODLES-PORK-SHRIMP-SOY_SAUCE-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586206,0.30512857662936466
CHICKEN-GREEN_ONION-MUSHROOMS-NOODLES-SHRIMP-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
CHICKEN-GREEN_ONION-NOODLES-SHRIMP-SOY_SAUCE-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
MUSHROOMS-NOODLES-PORK-SHRIMP-SOY_SAUCE-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586206,0.30512857662936466
GINGER-NOODLES-PORK-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586205,0.30512857662936466
CHICKEN-MUSHROOMS-NOODLES-SHRIMP-,30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
MUSHROOMS-NOODLES-PORK-SHRIMP-,30.0,3.0,0.09999999999999999,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
CHICKEN-GINGER-MUSHROOMS-NOODLES-SOY_SAUCE-,30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
CHICKEN-NOODLES-SHRIMP-SOY_SAUCE-,30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195401,0.2537081317024624
GINGER-GREEN_ONION-NOODLES-PORK-SOY_SAUCE-,30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
CHICKEN-GINGER-GREEN_ONION-NOODLES-SHRIMP-,30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
CHICKEN-GINGER-NOODLES-PORK-,30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
GREEN_ONION-NOODLES-PORK-SHRIMP-SOY_SAUCE-,30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
CHICKEN-GREEN_ONION-NOODLES-SOY_SAUCE-,30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
CHICKEN-GINGER-NOODLES-SOY_SAUCE-,30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
CHICKEN-GREEN_ONION-NOODLES-PORK-SOY_SAUCE-,30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
CHICKEN-NOODLES-SHRIMP-,30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
CHICKEN-GREEN_ONION-MUSHROOMS-NOODLES-,30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
MUSHROOMS-NOODLES-PORK-,30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195404,0.2537081317024625
CHICKEN-NOODLES-PORK-SHRIMP-,30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
CHICKEN-GREEN_ONION-NOODLES-PORK-,30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
CHICKEN-MUSHROOMS-NOODLES-PORK-SOY_SAUCE-,30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
CHICKEN-GREEN_ONION-MUSHROOMS-NOODLES-PORK-,30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
CHICKEN-MUSHROOMS-NOODLES-SHRIMP-SOY_SAUCE-,30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
CHICKEN-GREEN_ONION-NOODLES-SHRIMP-,30.0,1.0,0.03333333333333334,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
CHICKEN-MUSHROOMS-NOODLES-PORK-,30.0,1.0,0.03333333333333334,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
CHICKEN-GREEN_ONION-MUSHROOMS-NOODLES-SHRIMP-SOY_SAUCE-,30.0,1.0,0.03333333333333334,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
