Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
MUSHROOMS-NOODLES-NOODLES-,29.0,6.0,0.20689655172413798,0.0,2.0,2.0,0.312807881773399,0.559292304411029
GREEN_ONION-MUSHROOMS-SOY_SAUCE-,29.0,6.0,0.20689655172413793,0.0,2.0,2.0,0.24137931034482757,0.4913036844405175
MUSHROOMS-SOY_SAUCE-SOY_SAUCE-,29.0,5.0,0.17241379310344832,0.0,2.0,2.0,0.2192118226600985,0.46820062223377973
NOODLES-NOODLES-SOY_SAUCE-,29.0,5.0,0.1724137931034483,0.0,1.0,1.0,0.14778325123152708,0.38442587221924474
GINGER-MUSHROOMS-SOY_SAUCE-,29.0,5.0,0.17241379310344826,0.0,1.0,1.0,0.1477832512315271,0.3844258722192448
GINGER-NOODLES-SOY_SAUCE-,29.0,4.0,0.13793103448275865,0.0,2.0,2.0,0.19458128078817732,0.4411136823860458
GINGER-MUSHROOMS-NOODLES-,29.0,4.0,0.1379310344827586,0.0,1.0,1.0,0.1231527093596059,0.3509312031717982
GINGER-PORK-SOY_SAUCE-,29.0,3.0,0.10344827586206899,0.0,1.0,1.0,0.09605911330049262,0.30993404669460345
GINGER-NOODLES-NOODLES-,29.0,3.0,0.10344827586206898,0.0,1.0,1.0,0.09605911330049259,0.3099340466946034
GINGER-GREEN_ONION-SHRIMP-,29.0,3.0,0.10344827586206896,0.0,2.0,2.0,0.16748768472906403,0.40925259281898757
GINGER-MUSHROOMS-SHRIMP-,29.0,3.0,0.10344827586206896,0.0,2.0,2.0,0.167487684729064,0.4092525928189875
CHICKEN-NOODLES-SOY_SAUCE-,29.0,2.0,0.06896551724137934,0.0,1.0,1.0,0.0665024630541872,0.25788071477756375
GINGER-MUSHROOMS-MUSHROOMS-SHRIMP-,29.0,2.0,0.06896551724137934,0.0,1.0,1.0,0.06650246305418718,0.25788071477756375
GREEN_ONION-NOODLES-SOY_SAUCE-,29.0,2.0,0.06896551724137934,0.0,1.0,1.0,0.0665024630541872,0.25788071477756375
MUSHROOMS-PORK-SOY_SAUCE-SOY_SAUCE-,29.0,2.0,0.06896551724137934,0.0,1.0,1.0,0.0665024630541872,0.25788071477756375
GINGER-SOY_SAUCE-SOY_SAUCE-,29.0,2.0,0.06896551724137934,0.0,1.0,1.0,0.06650246305418718,0.25788071477756375
GREEN_ONION-PORK-SHRIMP-,29.0,2.0,0.06896551724137934,0.0,2.0,2.0,0.13793103448275862,0.3713906763541037
PORK-SHRIMP-SOY_SAUCE-,29.0,2.0,0.06896551724137932,0.0,1.0,1.0,0.0665024630541872,0.25788071477756375
GREEN_ONION-SOY_SAUCE-SOY_SAUCE-,29.0,2.0,0.06896551724137932,0.0,1.0,1.0,0.0665024630541872,0.25788071477756375
NOODLES-NOODLES-NOODLES-,29.0,2.0,0.06896551724137932,0.0,1.0,1.0,0.0665024630541872,0.25788071477756375
GINGER-GREEN_ONION-SHRIMP-SOY_SAUCE-,29.0,2.0,0.06896551724137931,0.0,2.0,2.0,0.13793103448275862,0.3713906763541037
CHICKEN-NOODLES-PORK-,29.0,2.0,0.06896551724137931,0.0,1.0,1.0,0.0665024630541872,0.25788071477756375
NOODLES-NOODLES-NOODLES-SOY_SAUCE-,29.0,2.0,0.06896551724137931,0.0,1.0,1.0,0.06650246305418718,0.25788071477756375
GREEN_ONION-MUSHROOMS-MUSHROOMS-,29.0,2.0,0.06896551724137931,0.0,1.0,1.0,0.06650246305418718,0.25788071477756375
MUSHROOMS-NOODLES-PORK-,29.0,2.0,0.06896551724137931,0.0,1.0,1.0,0.06650246305418718,0.25788071477756375
GINGER-GINGER-GREEN_ONION-,29.0,2.0,0.06896551724137931,0.0,1.0,1.0,0.0665024630541872,0.25788071477756375
GINGER-MUSHROOMS-MUSHROOMS-SOY_SAUCE-,29.0,2.0,0.06896551724137931,0.0,1.0,1.0,0.06650246305418718,0.25788071477756375
MUSHROOMS-MUSHROOMS-NOODLES-NOODLES-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
MUSHROOMS-PORK-SOY_SAUCE-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GREEN_ONION-MUSHROOMS-NOODLES-SOY_SAUCE-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GREEN_ONION-MUSHROOMS-SHRIMP-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GREEN_ONION-GREEN_ONION-PORK-SHRIMP-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
MUSHROOMS-MUSHROOMS-PORK-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
SHRIMP-SOY_SAUCE-SOY_SAUCE-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
MUSHROOMS-MUSHROOMS-SOY_SAUCE-SOY_SAUCE-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-MUSHROOMS-SOY_SAUCE-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GINGER-NOODLES-PORK-SOY_SAUCE-,29.0,1.0,0.03448275862068967,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-MUSHROOMS-PORK-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-GINGER-GREEN_ONION-NOODLES-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-GINGER-NOODLES-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
MUSHROOMS-PORK-SHRIMP-SOY_SAUCE-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-SHRIMP-SOY_SAUCE-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GREEN_ONION-GREEN_ONION-MUSHROOMS-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-GREEN_ONION-SOY_SAUCE-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GINGER-GINGER-GREEN_ONION-MUSHROOMS-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-GINGER-GREEN_ONION-NOODLES-PORK-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-NOODLES-NOODLES-SOY_SAUCE-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
SOY_SAUCE-SOY_SAUCE-SOY_SAUCE-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
PORK-SOY_SAUCE-SOY_SAUCE-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-GINGER-GREEN_ONION-NOODLES-PORK-SOY_SAUCE-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
NOODLES-SOY_SAUCE-SOY_SAUCE-,29.0,1.0,0.03448275862068966,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GREEN_ONION-MUSHROOMS-SOY_SAUCE-SOY_SAUCE-SOY_SAUCE-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GINGER-GREEN_ONION-MUSHROOMS-SHRIMP-SOY_SAUCE-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
MUSHROOMS-NOODLES-SOY_SAUCE-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.03448275862068965,0.18569533817705183
CHICKEN-GINGER-GREEN_ONION-SHRIMP-SOY_SAUCE-SOY_SAUCE-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-GREEN_ONION-NOODLES-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.03448275862068965,0.18569533817705183
GINGER-GREEN_ONION-SHRIMP-SOY_SAUCE-SOY_SAUCE-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GINGER-GINGER-GREEN_ONION-SHRIMP-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GINGER-MUSHROOMS-MUSHROOMS-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-GINGER-NOODLES-PORK-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-MUSHROOMS-SHRIMP-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-NOODLES-NOODLES-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.03448275862068965,0.18569533817705183
MUSHROOMS-NOODLES-SHRIMP-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GINGER-GINGER-MUSHROOMS-MUSHROOMS-SOY_SAUCE-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-GINGER-MUSHROOMS-SHRIMP-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.03448275862068965,0.18569533817705183
GINGER-SHRIMP-SOY_SAUCE-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
GREEN_ONION-GREEN_ONION-NOODLES-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.034482758620689655,0.18569533817705186
CHICKEN-MUSHROOMS-MUSHROOMS-,29.0,1.0,0.034482758620689655,0.0,1.0,1.0,0.03448275862068965,0.18569533817705183
