Favored Cards \ Game #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
MUSHROOMS-MUSHROOMS-SHRIMP-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MUSHROOMS-MUSHROOMS-PORK-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MUSHROOMS-NOODLES-SHRIMP-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CHICKEN-GINGER-SHRIMP-SOY_SAUCE-SOY_SAUCE-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREEN_ONION-SOY_SAUCE-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CHICKEN-MUSHROOMS-PORK-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MUSHROOMS-MUSHROOMS-SHRIMP-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GINGER-GINGER-MUSHROOMS-PORK-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
GINGER-GREEN_ONION-MUSHROOMS-MUSHROOMS-PORK-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MUSHROOMS-NOODLES-NOODLES-,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
GINGER-GREEN_ONION-MUSHROOMS-NOODLES-SHRIMP-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREEN_ONION-MUSHROOMS-NOODLES-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHICKEN-GREEN_ONION-MUSHROOMS-MUSHROOMS-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
GINGER-GREEN_ONION-GREEN_ONION-MUSHROOMS-SOY_SAUCE-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GINGER-GREEN_ONION-MUSHROOMS-MUSHROOMS-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NOODLES-SOY_SAUCE-SOY_SAUCE-,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
MUSHROOMS-MUSHROOMS-SOY_SAUCE-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
CHICKEN-NOODLES-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GREEN_ONION-MUSHROOMS-SOY_SAUCE-,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,2,1,0,0,0,0,1,0,0,3,1,0
GREEN_ONION-MUSHROOMS-NOODLES-NOODLES-SOY_SAUCE-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GINGER-MUSHROOMS-PORK-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
GREEN_ONION-MUSHROOMS-NOODLES-NOODLES-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GINGER-GREEN_ONION-NOODLES-NOODLES-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICKEN-GREEN_ONION-MUSHROOMS-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GINGER-SHRIMP-SOY_SAUCE-SOY_SAUCE-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
